login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
gyokuro,https://github.com/gyokuro,3.0,0.0,0.0,8.0,0.0,2.0,46288.0,0
KlausHuber,https://github.com/KlausHuber,3.0,0.0,0.0,1.0,0.0,0.0,382.0,0
hapeshericus,https://github.com/hapeshericus,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
biggerbrain62,https://github.com/biggerbrain62,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eunjin,https://github.com/Eunjin,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
useti,https://github.com/useti,6.0,3.0,2.0,35.0,3.0,1.0,1796142.0,0
dsampy,https://github.com/dsampy,3.0,0.0,0.0,75.0,0.0,0.0,6015.0,0
szytko,https://github.com/szytko,11.0,1.0,11.0,37.0,18.0,0.0,177863.0,0
linyaDev,https://github.com/linyaDev,6.0,3.0,2.0,4.0,2.0,2.0,4513920.0,0
savrip,https://github.com/savrip,3.0,0.0,0.0,1.0,0.0,0.0,4802.0,0
JamesBiddinger,https://github.com/JamesBiddinger,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
